iter	Passed	Remaining
198	4710	11859
199	4729	11824
200	4748	11788
201	4768	11755
202	4788	11723
203	4807	11689
204	4827	11657
205	4847	11625
206	4866	11589
207	4885	11555
208	4903	11520
209	4926	11495
210	4952	11478
211	4973	11447
212	5008	11451
213	5080	11536
214	5104	11514
215	5123	11481
216	5142	11446
217	5162	11414
218	5182	11383
219	5201	11349
220	5220	11314
221	5237	11278
222	5258	11247
223	5276	11212
224	5295	11179
225	5314	11146
226	5338	11123
227	5369	11116
228	5402	11112
229	5436	11110
230	5473	11113
231	5514	11123
232	5553	11130
233	5592	11136
234	5621	11123
235	5644	11097
236	5662	11061
237	5681	11028
238	5701	10997
239	5721	10965
240	5740	10933
241	5760	10902
242	5778	10866
243	5796	10833
244	5816	10801
245	5835	10769
246	5855	10739
247	5880	10717
248	5908	10701
249	5939	10690
250	5975	10689
251	6005	10677
252	6037	10666
253	6058	10638
254	6077	10606
255	6096	10574
256	6114	10540
257	6137	10513
258	6155	10481
259	6176	10453
260	6203	10433
261	6234	10423
262	6254	10392
263	6273	10359
264	6292	10329
265	6312	10299
266	6330	10266
267	6350	10236
268	6368	10203
269	6395	10185
270	6428	10177
271	6456	10159
272	6477	10130
273	6495	10098
274	6513	10066
275	6535	10039
276	6561	10019
277	6579	9987
278	6597	9955
279	6615	9922
280	6642	9905
281	6678	9899
282	6706	9881
283	6725	9851
284	6747	9824
285	6766	9795
286	6785	9765
287	6806	9737
288	6825	9706
289	6844	9676
290	6862	9644
291	6882	9616
292	6900	9585
293	6919	9555
294	6940	9528
295	6967	9509
296	6985	9479
297	7005	9450
298	7023	9420
299	7042	9390
300	7062	9361
301	7083	9334
302	7103	9307
303	7123	9278
304	7143	9251
305	7163	9223
306	7183	9196
307	7202	9166
308	7222	9138
309	7256	9128
310	7301	9133
311	7361	9154
312	7399	9148
313	7437	9142
314	7472	9132
315	7500	9114
316	7530	9098
317	7563	9085
318	7585	9059
319	7604	9030
320	7624	9001
321	7644	8973
322	7664	8946
323	7683	8916
324	7702	8887
325	7721	8858
326	7739	8828
327	7758	8799
328	7776	8769
329	7795	8740
330	7813	8710
331	7831	8681
332	7850	8652
333	7868	8622
334	7887	8593
335	7908	8567
336	7927	8539
337	7946	8510
338	7973	8490
339	7992	8462
340	8011	8434
341	8029	8405
342	8049	8378
343	8068	8349
344	8088	8322
345	8114	8302
346	8137	8277
347	8163	8257
348	8197	8244
349	8221	8221
350	8247	8200
351	8277	8183
352	8296	8155
353	8315	8127
354	8334	8099
355	8353	8072
356	8373	8045
357	8392	8017
358	8413	7992
359	8432	7963
360	8452	7937
361	8472	7910
362	8490	7882
363	8508	7853
364	8541	7839
365	8583	7832
366	8620	7821
367	8654	7807
368	8688	7793
369	8709	7768
370	8727	7739
371	8748	7713
372	8767	7686
373	8787	7659
374	8806	7632
375	8825	7605
376	8843	7577
377	8862	7549
378	8882	7523
379	8901	7496
380	8920	7468
381	8939	7441
382	8963	7418
383	8983	7392
384	9003	7366
385	9021	7338
386	9041	7312
387	9058	7284
388	9077	7257
389	9096	7230
390	9114	7202
391	9130	7174
392	9151	7148
393	9168	7120
394	9187	7093
395	9205	7067
396	9222	7039
397	9240	7011
398	9259	6985
399	9278	6959
400	9296	6931
401	9316	6906
402	9335	6879
403	9353	6853
404	9372	6826
405	9393	6802
406	9411	6775
407	9428	6747
408	9447	6721
409	9478	6704
410	9522	6695
411	9561	6683
412	9581	6658
413	9599	6631
414	9618	6605
415	9635	6578
416	9655	6552
417	9673	6526
418	9693	6500
419	9711	6474
420	9731	6448
421	9750	6423
422	9771	6398
423	9789	6372
424	9806	6345
425	9825	6319
426	9843	6293
427	9863	6268
428	9882	6243
429	9902	6217
430	9922	6192
431	9941	6167
432	9966	6145
433	9986	6120
434	10006	6095
435	10023	6069
436	10041	6043
437	10060	6017
438	10078	5991
439	10096	5966
440	10115	5940
441	10135	5915
442	10152	5889
443	10171	5864
444	10191	5839
445	10209	5814
446	10226	5788
447	10250	5765
448	10287	5750
449	10324	5735
450	10365	5722
451	10403	5708
452	10444	5694
453	10479	5678
454	10500	5653
455	10523	5630
456	10554	5612
457	10586	5593
458	10618	5575
459	10637	5550
460	10655	5524
461	10677	5500
462	10697	5475
463	10716	5450
464	10735	5425
465	10757	5402
466	10777	5377
467	10798	5353
468	10816	5327
469	10850	5309
470	10872	5286
471	10892	5261
472	10909	5235
473	10929	5211
474	10949	5186
475	10979	5166
476	10998	5141
477	11018	5117
478	11037	5092
479	11056	5067
480	11075	5042
481	11095	5018
482	11122	4996
483	11152	4977
484	11170	4951
485	11190	4927
486	11209	4902
487	11230	4878
488	11261	4859
489	11304	4844
490	11339	4826
491	11369	4806
492	11400	4786
493	11427	4765
494	11471	4751
495	11519	4737
496	11567	4724
497	11587	4700
498	11608	4675
499	11631	4652
500	11672	4636
501	11709	4618
502	11779	4613
503	11812	4593
504	11833	4569
505	11855	4545
506	11875	4520
507	11895	4495
508	11917	4471
509	11947	4451
510	11976	4429
511	12014	4411
512	12035	4387
513	12052	4361
514	12073	4336
515	12092	4311
516	12111	4286
517	12130	4262
518	12149	4237
519	12168	4212
520	12186	4187
521	12205	4162
522	12224	4137
523	12243	4112
524	12261	4087
525	12280	4062
526	12299	4037
527	12318	4012
528	12340	3989
529	12363	3965
530	12383	3941
531	12407	3918
532	12424	3892
533	12442	3868
534	12461	3843
535	12479	3818
536	12499	3794
537	12518	3769
538	12536	3744
539	12556	3720
540	12574	3695
541	12592	3671
542	12611	3646
543	12629	3621
544	12649	3597
545	12668	3573
546	12698	3551
547	12719	3527
548	12739	3503
549	12758	3479
550	12776	3455
551	12795	3430
552	12813	3406
553	12832	3381
554	12852	3357
555	12871	3333
556	12890	3309
557	12909	3285
558	12928	3260
559	12947	3236
560	12967	3212
561	12993	3190
562	13013	3166
563	13030	3142
564	13049	3118
565	13068	3093
566	13087	3069
567	13108	3046
568	13128	3022
569	13146	2998
570	13166	2974
571	13183	2950
572	13202	2926
573	13227	2903
574	13260	2882
575	13296	2862
576	13334	2842
577	13374	2822
578	13410	2802
579	13448	2782
580	13467	2758
581	13485	2734
582	13503	2709
583	13522	2685
584	13540	2661
585	13559	2637
586	13576	2613
587	13596	2589
588	13615	2565
589	13635	2542
590	13654	2518
591	13674	2494
592	13693	2470
593	13721	2448
594	13740	2424
595	13757	2400
596	13777	2377
597	13796	2353
598	13815	2329
599	13834	2305
600	13852	2281
601	13871	2258
602	13890	2234
603	13910	2210
604	13927	2186
605	13946	2163
606	13968	2140
607	14022	2121
608	14046	2098
609	14077	2077
610	14097	2053
611	14119	2030
612	14138	2006
613	14155	1982
614	14175	1959
615	14193	1935
616	14214	1912
617	14253	1891
618	14285	1869
619	14317	1847
620	14349	1825
621	14382	1803
622	14414	1781
623	14444	1759
624	14476	1737
625	14497	1713
626	14516	1690
627	14535	1666
628	14554	1642
629	14573	1619
630	14594	1595
631	14613	1572
632	14631	1548
633	14650	1525
634	14669	1501
635	14688	1478
636	14706	1454
637	14725	1431
638	14743	1407
639	14760	1383
640	14780	1360
641	14800	1337
642	14817	1313
643	14836	1290
644	14853	1266
645	14874	1243
646	14892	1219
647	14911	1196
648	14940	1174
649	14966	1151
650	14986	1128
651	15012	1105
652	15030	1081
653	15047	1058
654	15066	1035
655	15086	1011
656	15108	988
657	15125	965
658	15145	942
659	15163	918
660	15182	895
661	15199	872
662	15217	849
663	15236	826
664	15254	802
665	15272	779
666	15291	756
667	15309	733
668	15327	710
669	15344	687
670	15363	664
671	15380	640
672	15398	617
673	15417	594
674	15434	571
675	15452	548
676	15471	525
677	15490	502
678	15509	479
679	15528	456
680	15550	433
681	15587	411
682	15626	388
683	15654	366
684	15676	343
685	15696	320
686	15717	297
687	15735	274
688	15753	251
689	15772	228
690	15791	205
691	15809	182
692	15829	159
693	15850	137
694	15870	114
695	15889	91
696	15907	68
697	15927	45
698	15945	22
699	15965	0
