iter	MultiClass
160	0.2133518496
161	0.2129158776
162	0.2123345422
163	0.2119551963
164	0.2115361135
165	0.2108421629
166	0.2101911382
167	0.2096962519
168	0.2090928246
169	0.208765586
170	0.2083184971
171	0.207240464
172	0.2066938475
173	0.2061408932
174	0.205449536
175	0.2048905621
176	0.204285693
177	0.2037303352
178	0.2033676604
179	0.2028041579
180	0.2022042072
181	0.2016084849
182	0.2010330828
183	0.2006968938
184	0.2000395046
185	0.1995841753
186	0.1989969775
187	0.1986073592
188	0.1980299877
189	0.197565539
190	0.1969693318
191	0.196409415
192	0.1958737796
193	0.1953957491
194	0.1945588126
195	0.1940452902
196	0.1935159287
197	0.1931397442
198	0.1925122933
199	0.192242174
200	0.1918731658
201	0.1916693255
202	0.191203295
203	0.1906423975
204	0.1901343513
205	0.1895992515
206	0.1891173665
207	0.188218059
208	0.1878893855
209	0.187266207
210	0.1868183507
211	0.1862126964
212	0.1858663508
213	0.1854658604
214	0.185094353
215	0.184570464
216	0.1842330906
217	0.1834354628
218	0.1830730157
219	0.1826665337
220	0.1822011857
221	0.181721584
222	0.1812567288
223	0.1807755038
224	0.1803524475
225	0.1799693802
226	0.1794385638
227	0.1789572187
228	0.1786580199
229	0.1781678904
230	0.177541002
231	0.1771292215
232	0.1766546034
233	0.1764373274
234	0.1758361412
235	0.1751316662
236	0.174862926
237	0.1744479302
238	0.1740566884
239	0.1737030498
240	0.1732543476
241	0.1727514849
242	0.1725054218
243	0.1721218587
244	0.1718654973
245	0.1715681695
246	0.1711566259
247	0.1707520984
248	0.1703090561
249	0.1698300437
250	0.1695911778
251	0.1692159314
252	0.1688613762
253	0.1683552232
254	0.1679019965
255	0.1671799164
256	0.1667778024
257	0.1663838666
258	0.1661746555
259	0.1657893044
260	0.1655288694
261	0.1652664377
262	0.1648720796
263	0.1640894718
264	0.1637064405
265	0.1631820643
266	0.1630002068
267	0.1626101149
268	0.162365225
269	0.1621219143
270	0.1613913184
271	0.1611315682
272	0.1605936998
273	0.1603475724
274	0.1599953878
275	0.1595070701
276	0.1587833404
277	0.1585908751
278	0.1582121629
279	0.1578242059
280	0.1574484569
281	0.1570902784
282	0.1568270372
283	0.156491207
284	0.1560226363
285	0.1555665169
286	0.1552524722
287	0.1550347206
288	0.1547765283
289	0.1545922855
290	0.1542434733
291	0.1538793554
292	0.1534197689
293	0.1531724447
294	0.1529890083
295	0.1526692929
296	0.1524613065
297	0.1520966207
298	0.1518255806
299	0.151455673
300	0.1512761369
301	0.1508134333
302	0.1503994446
303	0.1500862505
304	0.1496352887
305	0.1494475808
306	0.1491210832
307	0.1487847159
308	0.148391263
309	0.1480767242
310	0.1476456963
311	0.1472624857
312	0.1468786129
313	0.1466633407
314	0.1463548896
315	0.146216713
316	0.1459291316
317	0.1457160322
318	0.1453912703
319	0.1450958476
320	0.1447544715
321	0.1443436322
322	0.1440558716
323	0.1439045179
324	0.1434691252
325	0.1429796902
326	0.1429294776
327	0.1425627288
328	0.1422091951
329	0.1419664531
330	0.1418123743
331	0.1414765376
332	0.1411514079
333	0.1408788376
334	0.140672048
335	0.1403327681
336	0.1400888133
337	0.1397494336
338	0.1395458506
339	0.1391611234
340	0.1389567427
341	0.1386788933
342	0.1384833722
343	0.1382200622
344	0.1377971451
345	0.1375406478
346	0.1372645926
347	0.137136076
348	0.1369862089
349	0.1366681749
350	0.1361789313
351	0.1358042332
352	0.1355331306
353	0.135242442
354	0.1350571816
355	0.1348215645
356	0.1345070144
357	0.1343561767
358	0.1340239592
359	0.1338120727
360	0.1333922254
361	0.1330043293
362	0.1329317631
363	0.1327175623
364	0.1324502345
365	0.1321663057
366	0.1318945531
367	0.1316503694
368	0.1315172929
369	0.1313567026
370	0.1312626047
371	0.1311122523
372	0.1308838398
373	0.1304142896
374	0.1302358973
375	0.1299469488
376	0.1295509085
377	0.1293327798
378	0.1290605254
379	0.1286793551
380	0.12830002
381	0.1280052615
382	0.1277982023
383	0.1274996402
384	0.1271899694
385	0.1269237015
386	0.1266667534
387	0.1265617562
388	0.1262859612
389	0.1261253182
390	0.1259868754
391	0.1258109277
392	0.1253883263
393	0.1251734216
394	0.1249773464
395	0.1247290905
396	0.124640047
397	0.1244431694
398	0.124285451
399	0.1240404559
400	0.1237772933
401	0.1235787662
402	0.1233389603
403	0.1231810155
404	0.1229962815
405	0.1228557995
406	0.1226856567
407	0.1226112458
408	0.1223843447
409	0.1221443075
410	0.121975989
411	0.1217515336
412	0.1214671362
413	0.121297995
414	0.1210895785
415	0.1207589577
416	0.1204789638
417	0.120283623
418	0.1199404087
419	0.1197785523
420	0.1194717829
421	0.1192801578
422	0.1189878707
423	0.1188203628
424	0.1187329518
425	0.1185851407
426	0.1182230583
427	0.1179761135
428	0.1178704359
429	0.1177826259
430	0.1175116884
431	0.117361649
432	0.1169495418
433	0.1166913259
434	0.1164685433
435	0.1163913742
436	0.1162868552
437	0.1161322218
438	0.1159751536
439	0.1158323618
440	0.1155761925
441	0.1155068473
442	0.1153537525
443	0.1151277988
444	0.1149565291
445	0.1147599777
446	0.1146531374
447	0.1143451132
448	0.1141476322
449	0.1139285609
450	0.1137172304
451	0.1133508632
452	0.1132267421
453	0.1129596753
454	0.1127130272
455	0.1126241171
456	0.1125250015
457	0.1124302679
458	0.1122779024
459	0.1122229869
460	0.111961433
461	0.1116208027
462	0.111328972
463	0.1111120196
464	0.1108891596
465	0.1107262228
466	0.1105363473
467	0.1101665693
468	0.1099719265
469	0.1098655272
470	0.1095465453
471	0.109440245
472	0.1091942728
473	0.1089789263
474	0.1088112955
475	0.1086724624
476	0.1085538953
477	0.1083290057
478	0.1080626383
479	0.1078956717
480	0.1078195567
481	0.1075936475
482	0.1073458938
483	0.1072557066
484	0.107186585
485	0.1069402162
486	0.106811362
487	0.1065791304
488	0.1064092951
489	0.1063142863
490	0.1059965864
491	0.1059455273
492	0.1058767342
493	0.1058073892
494	0.1057117165
495	0.1055784712
496	0.105416525
497	0.1052270394
498	0.1051171898
499	0.1049936078
500	0.1047603442
501	0.1046738286
502	0.1043471166
503	0.1041388181
504	0.1039175521
505	0.103598938
506	0.1032944666
507	0.1031257751
508	0.1029855938
509	0.1028337319
510	0.1027932409
511	0.1025881726
512	0.1024992735
513	0.1024539543
514	0.1024095228
515	0.1022689068
516	0.1020944351
517	0.1019538048
518	0.1018450766
519	0.1016580953
520	0.1016074871
521	0.1014215649
522	0.1012497489
523	0.1011313826
524	0.1010140907
525	0.1007763512
526	0.1005685298
527	0.1003362985
528	0.1001070336
529	0.09996635359
530	0.09989239125
531	0.0996740736
532	0.09959700365
533	0.09949184404
534	0.09934708362
535	0.0992454767
536	0.09903408708
537	0.09883070208
538	0.09858661847
539	0.09819802951
540	0.09808565448
541	0.09794082587
542	0.09784548685
543	0.09777334882
544	0.09757923614
545	0.09738424533
546	0.09720188011
547	0.0970404174
548	0.09681266381
549	0.09661050229
550	0.09655748305
551	0.09634602628
552	0.09621865792
553	0.0960881434
554	0.09596152631
555	0.09579701612
556	0.09551814027
557	0.09534781771
558	0.09520190669
559	0.09500640902
560	0.09484165827
561	0.09479713367
562	0.09472451033
563	0.09467307064
564	0.09446684126
565	0.09436935252
566	0.09425954875
567	0.09411919001
568	0.0939523045
569	0.09384216351
570	0.09364026746
571	0.09343826711
572	0.09326704432
573	0.09316386951
574	0.09302428392
575	0.09291828386
576	0.09277240414
577	0.09262830334
578	0.09252391976
579	0.09242717622
580	0.09226913452
581	0.09214366243
582	0.09205880922
583	0.09193000219
584	0.09188664237
585	0.09181207922
586	0.09175885962
587	0.09166085312
588	0.09156156762
589	0.09144418966
590	0.09132890841
591	0.09120728466
592	0.09110241824
593	0.09098828013
594	0.0908325539
595	0.09077707313
596	0.09063607819
597	0.09051100051
598	0.09043386303
599	0.09034498842
600	0.09023997734
601	0.09014541489
602	0.0899167217
603	0.08985250232
604	0.08970838914
605	0.08953372639
606	0.08946088342
607	0.08924554527
608	0.08902245662
609	0.08887586395
610	0.08864008597
611	0.08857205233
612	0.08843647073
613	0.08834635966
614	0.08822597469
615	0.08805020211
616	0.08794786311
617	0.0877680246
618	0.08769327501
619	0.0876135067
620	0.08753876485
621	0.08741415872
622	0.08720931398
623	0.08708900534
624	0.08690947518
625	0.08667357384
626	0.08650603822
627	0.08641357726
628	0.08626279636
629	0.08610261871
630	0.08588955686
631	0.08582026994
632	0.08567412312
633	0.0855873222
634	0.08546695598
635	0.0852897826
636	0.08517323379
637	0.08505430794
638	0.08497626988
639	0.08490462386
640	0.08478195978
641	0.08459277621
642	0.08435685878
643	0.08424068393
644	0.08417525428
645	0.08413517065
646	0.08400835031
647	0.08385305724
648	0.08370754817
649	0.08351721485
650	0.08342004001
651	0.08336258697
652	0.08324532733
653	0.08308354411
654	0.08299998068
655	0.08286971017
656	0.0827887303
657	0.08271764287
658	0.08260326972
659	0.0825108709
660	0.08236898611
661	0.08232989601
662	0.0822548118
663	0.08216071594
664	0.08197974397
665	0.08190973908
666	0.08179635761
667	0.08175609898
668	0.08166300711
669	0.08159610312
670	0.0815060307
671	0.08142360003
672	0.08135352064
673	0.0812812411
674	0.08115214328
675	0.08111847672
676	0.08095752317
677	0.08074611184
678	0.08060703179
679	0.08054760948
680	0.08046418005
681	0.08033456838
682	0.08010780914
683	0.07998792092
684	0.07992205518
685	0.07971989836
686	0.07963631806
687	0.07958371469
688	0.07953726592
689	0.07948279706
690	0.07940066727
691	0.07936259215
692	0.07925894019
693	0.07910312372
694	0.079006299
695	0.0787781507
696	0.07874148703
697	0.07859786289
698	0.07850261548
699	0.07837396092
